GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A.  Mineral industry,1669.537332932,,,,Summary1.As1,DENMARK,2002,Subsector,1. Energy,,
C.  Metal industry,0.1338,,,,Summary1.As1,DENMARK,2002,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,198.5049162970654,0.0178096887034,0.000588146232,,Summary1.As1,DENMARK,2002,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,2002,Subsector,2.  Industrial processes and product use,759.1059825864519,28.23507756339
G.  Other product manufacture and use ,0.204922825,0.1354355842,0.0679604381685,0.00105561327747,Summary1.As1,DENMARK,2002,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,2002,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),58601.14357808074,,,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
                                           Sectoral approach(2),59428.80719408475,27.34686733025543,1.29715396205617,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
1.  Energy industries,32114.16999272685,14.39862290425284,0.44441631876818,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,5819.443432146951,0.98823253625769,0.21444336310415,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
3.  Transport,13127.275121889112,1.8000052442561,0.38953403282316,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
4.  Other sectors,8169.767614548189,10.07892014138645,0.2431824202081,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
5.  Other,198.1510327736585,0.08108650410235,0.00557782715258,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
B. Fugitive emissions from fuels,669.8660509459816,11.09926751811952,0.0005858111928,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,669.8660509459816,11.09926751811952,0.0005858111928,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
A.  Mineral industry,1542.513252369,,,,Summary1.As1,DENMARK,2003,Subsector,1. Energy,,
C.  Metal industry,0.0628,,,,Summary1.As1,DENMARK,2003,Subsector,2.  Industrial processes and product use,,
