GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
2.  Industrial processes and product use,14266.269122130254,1.0268439316,2.53944765296019,184.803342650432,0.00456640619728,Summary1.As1,BELGIUM,2020,Sector,3111.956793801984
1. Energy,80362.62653488976,42.86045789639134,2.043213727438,,,Summary1.As1,BELGIUM,2021,Sector,
2.  Industrial processes and product use,14850.58231156681,0.7917073603,2.37529167336979,182.00031504134571,0.0040763154608,Summary1.As1,BELGIUM,2021,Sector,2397.303672505465
3.  Agriculture,178.74107060362007,239.3856904080576,17.94208395288254,,,Summary1.As2,BELGIUM,1990,Sector,
"4.  Land use, land-use change and forestry  (4)",-2942.1233810620924,0.00506907339736,0.02245339597316,,,Summary1.As2,BELGIUM,1990,Sector,
5.  Waste,299.49881919645765,156.004235437302,0.48537178111223,,,Summary1.As2,BELGIUM,1990,Sector,
3.  Agriculture,178.36782342870544,237.2764218100438,17.74777766761687,,,Summary1.As2,BELGIUM,1991,Sector,
"4.  Land use, land-use change and forestry  (4)",-2480.3382691214024,0.00506907339736,0.03624596387538,,,Summary1.As2,BELGIUM,1991,Sector,
5.  Waste,301.1938171381621,161.2867522662188,0.49091289400939,,,Summary1.As2,BELGIUM,1991,Sector,
3.  Agriculture,176.87411287429566,236.2425095654569,17.84247911047379,,,Summary1.As2,BELGIUM,1992,Sector,
"4.  Land use, land-use change and forestry  (4)",-2303.772377918268,0.00426869338725,0.05000618047857,,,Summary1.As2,BELGIUM,1992,Sector,
5.  Waste,312.5676425856502,165.12583064459673,0.50174223954357,,,Summary1.As2,BELGIUM,1992,Sector,
3.  Agriculture,175.36396968339918,239.9851704614273,17.97602359550297,,,Summary1.As2,BELGIUM,1993,Sector,
"4.  Land use, land-use change and forestry  (4)",-2324.18326791009,0.00482405934148,0.063870692399,,,Summary1.As2,BELGIUM,1993,Sector,
5.  Waste,316.4886188440745,152.2863107071667,0.50245476548065,,,Summary1.As2,BELGIUM,1993,Sector,
3.  Agriculture,180.35460648982547,239.8316475921947,17.55721234382393,,,Summary1.As2,BELGIUM,1994,Sector,
"4.  Land use, land-use change and forestry  (4)",-2075.8391445476727,0.00405047787714,0.07756458976543,,,Summary1.As2,BELGIUM,1994,Sector,
5.  Waste,191.1935916290591,159.75768732628842,0.48828056344302,,,Summary1.As2,BELGIUM,1994,Sector,
