GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
1.  Solid fuels,315.131975,259.0937500295293,,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,7.30322867967214,34.69194844573724,0.00010732755682,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,1. Energy,,
B.  Chemical industry,1852.803633,1.6793508084,3.5054056,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,7422.0812095966785,0.45382739329231,,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,140.30036533333333,,,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,0.0003762,Summary1.As1,CZECH REPUBLIC,2000,Subsector,2.  Industrial processes and product use,,2.3241465
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,2.  Industrial processes and product use,799.7729942786631,2.10731841512006
G.  Other product manufacture and use ,,,0.692,0.00437811265488,Summary1.As1,CZECH REPUBLIC,2000,Subsector,2.  Industrial processes and product use,,
H.  Other(3),0.36537365709129,,,,Summary1.As1,CZECH REPUBLIC,2000,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),114625.17441389544,,,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
                                           Sectoral approach(2),114323.6570783855,36.0376453187464,2.00313017483011,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
1.  Energy industries,63944.85368330096,0.90379843895547,0.93080777497256,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,20761.55748643133,1.72461730838535,0.25028835053961,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
3.  Transport,12809.897512372254,2.89353240832639,0.49447236226078,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
4.  Other sectors,16649.24527028095,30.49536271723413,0.32300940660057,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
5.  Other,158.10312599999995,0.02033444584506,0.00455228045659,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
B. Fugitive emissions from fuels,331.64072116709684,267.08008183448794,0.00011211899026,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
1.  Solid fuels,324.02527000000003,234.3478009074637,,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,7.61545116709679,32.7322809270242,0.00011211899026,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,1. Energy,,
B.  Chemical industry,1726.913467,1.7615361266,3.4511157,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,6994.14107087777,0.46570293329231,,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,110.82549866666668,,,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,0.0006422,Summary1.As1,CZECH REPUBLIC,2001,Subsector,2.  Industrial processes and product use,,5.77691295
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,2.  Industrial processes and product use,997.9417133590184,3.37567464037931
G.  Other product manufacture and use ,,,0.692,0.00369188645351,Summary1.As1,CZECH REPUBLIC,2001,Subsector,2.  Industrial processes and product use,,
H.  Other(3),0.36908459830627,,,,Summary1.As1,CZECH REPUBLIC,2001,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),112215.46088713928,,,,Summary1.As1,CZECH REPUBLIC,2002,Subsector,1. Energy,,
                                           Sectoral approach(2),111362.07184854762,34.98353777472237,1.99492122444457,,Summary1.As1,CZECH REPUBLIC,2002,Subsector,1. Energy,,
