GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
A.  Mineral industry,0.275321375,,,,Summary1.As1,MALTA,1999,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.39696390388401,,,,Summary1.As1,MALTA,1999,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,1999,Subsector,2.  Industrial processes and product use,0.01024725581493,
G.  Other product manufacture and use ,,,0.00969045899379,6.4266e-05,Summary1.As1,MALTA,1999,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2084.708230000002,,,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
                                           Sectoral approach(2),2464.1312407530304,0.19318207238934,0.03137017036318,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
1.  Energy industries,1602.32706,0.0625182,0.01250364,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,62.4365549451949,0.00238738962403,0.00047000067642,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
3.  Transport,496.9912951013397,0.0910993314511,0.0149097402585,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
4.  Other sectors,301.1073148078728,0.03710983143231,0.00345172399405,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
5.  Other,1.26901589862295,6.73198819e-05,3.506543421e-05,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
A.  Mineral industry,0.21311495,,,,Summary1.As1,MALTA,2000,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.37812403802326,,,,Summary1.As1,MALTA,2000,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,2000,Subsector,2.  Industrial processes and product use,4.63222913176748,
G.  Other product manufacture and use ,,,0.01062171340614,6.4436e-05,Summary1.As1,MALTA,2000,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2504.244196666669,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
                                           Sectoral approach(2),2732.3460770469724,0.19000943258579,0.03298041372935,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
1.  Energy industries,1943.92146,0.0757542,0.01515084,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,56.4578141716897,0.00214222941606,0.00042110296166,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
3.  Transport,522.0141319748765,0.08733469243488,0.015088635184,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
4.  Other sectors,208.5835732335994,0.02470454199283,0.00228204559945,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
5.  Other,1.36909766680673,7.376874202e-05,3.778998424e-05,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
A.  Mineral industry,0.201150915,,,,Summary1.As1,MALTA,2001,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.46201496365003,,,,Summary1.As1,MALTA,2001,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,2001,Subsector,2.  Industrial processes and product use,8.79596624698752,
G.  Other product manufacture and use ,,,0.00842931006811,6.533616e-05,Summary1.As1,MALTA,2001,Subsector,2.  Industrial processes and product use,,
