GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
International bunkers,1152.9575372642912,0.10872889942167,0.02484756380377,,Summary1.As3,MALTA,1990,Sector,,
Indirect N2O,,,0.07965231159833,,Summary1.As3,MALTA,1990,Sector,,
International bunkers,1148.5378392333184,0.11342076247569,0.02653066628208,,Summary1.As3,MALTA,1991,Sector,,
Indirect N2O,,,0.08131120367457,,Summary1.As3,MALTA,1991,Sector,,
International bunkers,1449.854693536349,0.1436431573103,0.03333346996591,,Summary1.As3,MALTA,1992,Sector,,
Indirect N2O,,,0.08259120013118,,Summary1.As3,MALTA,1992,Sector,,
International bunkers,1716.949769397802,0.16820487967476,0.04015747474641,,Summary1.As3,MALTA,1993,Sector,,
Indirect N2O,,,0.08257951859931,,Summary1.As3,MALTA,1993,Sector,,
International bunkers,1812.9590442067104,0.17986059474412,0.04165401556502,,Summary1.As3,MALTA,1994,Sector,,
Indirect N2O,,,0.07988085907821,,Summary1.As3,MALTA,1994,Sector,,
International bunkers,1858.0244118595656,0.18509269862631,0.04247488893786,,Summary1.As3,MALTA,1995,Sector,,
Indirect N2O,,,0.07697557905879,,Summary1.As3,MALTA,1995,Sector,,
International bunkers,1898.252451308121,0.18867791345788,0.04359687731587,,Summary1.As3,MALTA,1996,Sector,,
Indirect N2O,,,0.07991757318414,,Summary1.As3,MALTA,1996,Sector,,
International bunkers,2075.6037793098667,0.20562356172702,0.04792247081646,,Summary1.As3,MALTA,1997,Sector,,
Indirect N2O,,,0.08122297477243,,Summary1.As3,MALTA,1997,Sector,,
International bunkers,2184.2655444655097,0.21488426631221,0.05099152542854,,Summary1.As3,MALTA,1998,Sector,,
Indirect N2O,,,0.07767372227402,,Summary1.As3,MALTA,1998,Sector,,
International bunkers,2366.997026465887,0.23192858037373,0.05558971992179,,Summary1.As3,MALTA,1999,Sector,,
Indirect N2O,,,0.08059448385007,,Summary1.As3,MALTA,1999,Sector,,
International bunkers,2567.4794724198227,0.24992070168058,0.06113679156962,,Summary1.As3,MALTA,2000,Sector,,
Indirect N2O,,,0.07665471299311,,Summary1.As3,MALTA,2000,Sector,,
International bunkers,2596.95773584244,0.24990397684827,0.06273080971386,,Summary1.As3,MALTA,2001,Sector,,
Indirect N2O,,,0.07567026813811,,Summary1.As3,MALTA,2001,Sector,,
International bunkers,3026.845169186384,0.28812716192842,0.07429181354143,,Summary1.As3,MALTA,2002,Sector,,
Indirect N2O,,,0.07650042346281,,Summary1.As3,MALTA,2002,Sector,,
International bunkers,3203.335502769403,0.30418038951148,0.07884441783621,,Summary1.As3,MALTA,2003,Sector,,
Indirect N2O,,,0.07337922335559,,Summary1.As3,MALTA,2003,Sector,,
International bunkers,3414.2431623359626,0.32398964705087,0.08432997237666,,Summary1.As3,MALTA,2004,Sector,,
Indirect N2O,,,0.07590699810417,,Summary1.As3,MALTA,2004,Sector,,
International bunkers,2379.089032140185,0.19503897307158,0.06238086527017,,Summary1.As3,MALTA,2005,Sector,,
Indirect N2O,,,0.07005779616901,,Summary1.As3,MALTA,2005,Sector,,
International bunkers,2671.7298666934485,0.22249959073768,0.07005354825614,,Summary1.As3,MALTA,2006,Sector,,
Indirect N2O,,,0.06963364010707,,Summary1.As3,MALTA,2006,Sector,,
International bunkers,2978.555091303189,0.2489404647336,0.07799231722106,,Summary1.As3,MALTA,2007,Sector,,
Indirect N2O,,,0.0711429305778,,Summary1.As3,MALTA,2007,Sector,,
International bunkers,3207.124639820104,0.2694600508187,0.08407744779859,,Summary1.As3,MALTA,2008,Sector,,
Indirect N2O,,,0.06737363011802,,Summary1.As3,MALTA,2008,Sector,,
International bunkers,3364.0066767890903,0.2845949251977,0.08798101808618,,Summary1.As3,MALTA,2009,Sector,,
Indirect N2O,,,0.06451690024535,,Summary1.As3,MALTA,2009,Sector,,
International bunkers,4952.674374470001,0.42697512072863,0.12930066423636,,Summary1.As3,MALTA,2010,Sector,,
CO2 emissions from biomass,5.11429294527166,,,,Summary1.As3,MALTA,2010,Sector,,
Indirect N2O,,,0.06337332658494,,Summary1.As3,MALTA,2010,Sector,,
International bunkers,4595.40345880171,0.39324113904076,0.11996258809957,,Summary1.As3,MALTA,2011,Sector,,
CO2 emissions from biomass,9.80768304906949,,,,Summary1.As3,MALTA,2011,Sector,,
Indirect N2O,,,0.06217109356173,,Summary1.As3,MALTA,2011,Sector,,
International bunkers,4107.972925306579,0.34958127731479,0.10735799451909,,Summary1.As3,MALTA,2012,Sector,,
CO2 emissions from biomass,14.94617180479992,,,,Summary1.As3,MALTA,2012,Sector,,
Indirect N2O,,,0.06392027610674,,Summary1.As3,MALTA,2012,Sector,,
International bunkers,4144.234731301344,0.35030421946991,0.10815420366285,,Summary1.As3,MALTA,2013,Sector,,
CO2 emissions from biomass,21.09093897174751,,,,Summary1.As3,MALTA,2013,Sector,,
Indirect N2O,,,0.06359790686875,,Summary1.As3,MALTA,2013,Sector,,
International bunkers,4278.860659087884,0.36112437085271,0.1116976442442,,Summary1.As3,MALTA,2014,Sector,,
CO2 emissions from biomass,28.95282166160714,,,,Summary1.As3,MALTA,2014,Sector,,
Indirect N2O,,,0.06293579614318,,Summary1.As3,MALTA,2014,Sector,,
International bunkers,5300.614485540905,0.45304841344705,0.13839390598778,,Summary1.As3,MALTA,2015,Sector,,
CO2 emissions from biomass,27.53239842111217,,,,Summary1.As3,MALTA,2015,Sector,,
Indirect N2O,,,0.06458292796176,,Summary1.As3,MALTA,2015,Sector,,
International bunkers,6032.09727885778,0.51633481137479,0.15735250434339,,Summary1.As3,MALTA,2016,Sector,,
CO2 emissions from biomass,27.27062567636494,,,,Summary1.As3,MALTA,2016,Sector,,
Indirect N2O,,,0.06292249138623,,Summary1.As3,MALTA,2016,Sector,,
International bunkers,7297.352327594191,0.628950555488,0.190312191718,,Summary1.As3,MALTA,2017,Sector,,
CO2 emissions from biomass,30.80674064526132,,,,Summary1.As3,MALTA,2017,Sector,,
Indirect N2O,,,0.06347429649609,,Summary1.As3,MALTA,2017,Sector,,
International bunkers,7571.92378741916,0.650765354562,0.197606265452,,Summary1.As3,MALTA,2018,Sector,,
CO2 emissions from biomass,39.84905789511289,,,,Summary1.As3,MALTA,2018,Sector,,
Indirect N2O,,,0.06172981962298,,Summary1.As3,MALTA,2018,Sector,,
International bunkers,7784.73718428832,0.667169722286,0.203218230048,,Summary1.As3,MALTA,2019,Sector,,
CO2 emissions from biomass,44.48593113108103,,,,Summary1.As3,MALTA,2019,Sector,,
Indirect N2O,,,0.0612306911498,,Summary1.As3,MALTA,2019,Sector,,
International bunkers,7221.464599195883,0.6421179095752,0.18830620732292,,Summary1.As3,MALTA,2020,Sector,,
CO2 emissions from biomass,52.45229208581558,,,,Summary1.As3,MALTA,2020,Sector,,
Indirect N2O,,,0.06404508452985,,Summary1.As3,MALTA,2020,Sector,,
International bunkers,6478.29368186768,0.57040957325,0.16911679088,,Summary1.As3,MALTA,2021,Sector,,
CO2 emissions from biomass,43.4269814744,,,,Summary1.As3,MALTA,2021,Sector,,
Indirect N2O,,,0.06293836600897,,Summary1.As3,MALTA,2021,Sector,,
