GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
E.  Electronic industry ,,,,4.6624,153.43278,0.0034,Summary1.As1,IRELAND,1997,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,110.26750788741654,,,Summary1.As1,IRELAND,1997,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0795675228656,,0.109929,,,0.00213146574331,Summary1.As1,IRELAND,1997,Subsector,2.  Industrial processes and product use
H.  Other(3),20.66414713663212,,,,,,Summary1.As1,IRELAND,1997,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),37838.96154760909,,,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
                                           Sectoral approach(2),37763.63550092677,13.37115186871038,2.01136057707417,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
1.  Energy industries,15057.144653466072,0.36851527478772,0.25227405774517,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4447.600794414805,0.27926838189324,0.04466169872398,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
3.  Transport,8620.64080766795,1.82902944175937,1.35969245397406,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
4.  Other sectors,9638.249245377949,10.89433877027005,0.35473236663096,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,0.02357291908485,3.17528472721187,,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
1.  Solid fuels,,1.1584166,,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.02357291908485,2.01686812721187,,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
A.  Mineral industry,1288.1260716317763,,,,,,Summary1.As1,IRELAND,1998,Subsector,1. Energy
C.  Metal industry,28.64,,,,,,Summary1.As1,IRELAND,1998,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,81.40481813649674,,,,,,Summary1.As1,IRELAND,1998,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,3.75413556,71.859,0.0022,Summary1.As1,IRELAND,1998,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,137.56906446625308,,,Summary1.As1,IRELAND,1998,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0814723888396,,0.111093,,,0.00169386877869,Summary1.As1,IRELAND,1998,Subsector,2.  Industrial processes and product use
H.  Other(3),22.55842373419071,,,,,,Summary1.As1,IRELAND,1998,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),39518.72575281035,,,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
                                           Sectoral approach(2),39414.30251309527,10.89318006393376,1.23441083685016,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
1.  Energy industries,15713.092468204475,0.39859855526679,0.25837186305547,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
