GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2004,Subsector,1. Energy,2.79340677985755,0.00484767
A. Fuel combustion     Reference approach(2),88.67708694188713,,,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
                                           Sectoral approach(2),89.3277042644935,0.00973118304365,0.00681921355237,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
1.  Energy industries,17.81541934366929,5.305852538e-05,0.00374438430238,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.71027371421464,0.00016056049419,0.0009900732877,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
3.  Transport,34.21869049074465,0.0090865652517,0.00171821037439,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
4.  Other sectors,33.58332071586492,0.00043099877238,0.0003665455879,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00063840017,0.0259794687482,,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00063840017,0.0259794687482,,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04426514531054,1.275908644e-05,2.16008784e-06,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2005,Subsector,1. Energy,3.67177299211127,0.07989384
A. Fuel combustion     Reference approach(2),82.94448171923715,,,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
                                           Sectoral approach(2),83.57075331197056,0.00960394701714,0.00589568357602,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
1.  Energy industries,14.20552396973343,6.383461688e-05,0.00282314321172,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.66605066116407,0.00015986721229,0.00098939481218,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
3.  Transport,34.19078157900045,0.00897570836213,0.00173609967337,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
4.  Other sectors,31.50839710207261,0.00040453682584,0.00034704587875,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00063856895,0.0259910352956,,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00063856895,0.0259910352956,,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04582225776551,1.295249517e-05,2.25113386e-06,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2006,Subsector,1. Energy,4.52576114991456,0.09001302
A. Fuel combustion     Reference approach(2),81.7087468459666,,,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
                                           Sectoral approach(2),82.28094453050701,0.00933954062801,0.00695108189583,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
1.  Energy industries,18.66444272975405,7.20767246e-05,0.00391334730223,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.61105823975868,0.00015915442572,0.0009887243689,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
3.  Transport,33.55100456838759,0.00875313395152,0.00174490886001,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
4.  Other sectors,26.4544389926067,0.00035517552617,0.00030410136469,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00057359395,0.0253788480918,,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00057359395,0.0253788480918,,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04630221087921,1.278318681e-05,2.26898695e-06,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2007,Subsector,1. Energy,4.8736942916683,0.0807945
A. Fuel combustion     Reference approach(2),81.4796720296401,,,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
