GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
International bunkers,21.12707391606898,0.0017388358432,0.00058811091237,,Summary1.As3,MONACCO,2007,Sector,,
CO2 emissions from biomass,37.67599754152172,,,,Summary1.As3,MONACCO,2007,Sector,,
Indirect CO2,0.32106704816038,,,,Summary1.As3,MONACCO,2007,Sector,,
International bunkers,23.63872224428714,0.00207865310477,0.00067075131971,,Summary1.As3,MONACCO,2008,Sector,,
CO2 emissions from biomass,36.60819249620231,,,,Summary1.As3,MONACCO,2008,Sector,,
Indirect CO2,0.3003400203958,,,,Summary1.As3,MONACCO,2008,Sector,,
International bunkers,25.03254477385792,0.00228709679159,0.00071416511257,,Summary1.As3,MONACCO,2009,Sector,,
CO2 emissions from biomass,34.67906000352381,,,,Summary1.As3,MONACCO,2009,Sector,,
Indirect CO2,0.26710316053458,,,,Summary1.As3,MONACCO,2009,Sector,,
International bunkers,27.11194486880265,0.0024860123522,0.00077195848238,,Summary1.As3,MONACCO,2010,Sector,,
CO2 emissions from biomass,33.68399645106037,,,,Summary1.As3,MONACCO,2010,Sector,,
Indirect CO2,0.25301240722628,,,,Summary1.As3,MONACCO,2010,Sector,,
International bunkers,24.21267265046418,0.00217339860161,0.00068792035539,,Summary1.As3,MONACCO,2011,Sector,,
CO2 emissions from biomass,35.94408100291408,,,,Summary1.As3,MONACCO,2011,Sector,,
Indirect CO2,0.28963932482908,,,,Summary1.As3,MONACCO,2011,Sector,,
International bunkers,27.22239463942876,0.0024636235537,0.00077480409165,,Summary1.As3,MONACCO,2012,Sector,,
CO2 emissions from biomass,37.28147713389998,,,,Summary1.As3,MONACCO,2012,Sector,,
Indirect CO2,0.25180123220925,,,,Summary1.As3,MONACCO,2012,Sector,,
International bunkers,26.4704839379543,0.00238604058177,0.00075331146587,,Summary1.As3,MONACCO,2013,Sector,,
CO2 emissions from biomass,39.04914887894909,,,,Summary1.As3,MONACCO,2013,Sector,,
Indirect CO2,0.23734186806336,,,,Summary1.As3,MONACCO,2013,Sector,,
International bunkers,23.18489316796505,0.00207957421843,0.00066315504682,,Summary1.As3,MONACCO,2014,Sector,,
CO2 emissions from biomass,40.2672354920066,,,,Summary1.As3,MONACCO,2014,Sector,,
Indirect CO2,0.23310488329571,,,,Summary1.As3,MONACCO,2014,Sector,,
International bunkers,25.48063416722657,0.0023093803981,0.00072916091826,,Summary1.As3,MONACCO,2015,Sector,,
CO2 emissions from biomass,41.12432550521573,,,,Summary1.As3,MONACCO,2015,Sector,,
Indirect CO2,0.24301738361883,,,,Summary1.As3,MONACCO,2015,Sector,,
International bunkers,19.34309670393175,0.00170932318221,0.00055455221226,,Summary1.As3,MONACCO,2016,Sector,,
CO2 emissions from biomass,40.52660362623079,,,,Summary1.As3,MONACCO,2016,Sector,,
Indirect CO2,0.23573530856952,,,,Summary1.As3,MONACCO,2016,Sector,,
International bunkers,14.59118229761547,0.00124252860566,0.0004195286026,,Summary1.As3,MONACCO,2017,Sector,,
CO2 emissions from biomass,38.15744440162718,,,,Summary1.As3,MONACCO,2017,Sector,,
Indirect CO2,0.21848033786762,,,,Summary1.As3,MONACCO,2017,Sector,,
International bunkers,12.4697582942056,0.00102897032322,0.00035912077451,,Summary1.As3,MONACCO,2018,Sector,,
CO2 emissions from biomass,39.73474996816277,,,,Summary1.As3,MONACCO,2018,Sector,,
Indirect CO2,0.21530588140626,,,,Summary1.As3,MONACCO,2018,Sector,,
International bunkers,12.09390996261585,0.00098812585522,0.00034828443185,,Summary1.As3,MONACCO,2019,Sector,,
CO2 emissions from biomass,39.52086570121682,,,,Summary1.As3,MONACCO,2019,Sector,,
Indirect CO2,0.21129817362975,,,,Summary1.As3,MONACCO,2019,Sector,,
International bunkers,9.52717268229234,0.00086480766858,0.00027455051771,,Summary1.As3,MONACCO,2020,Sector,,
CO2 emissions from biomass,34.27371184567648,,,,Summary1.As3,MONACCO,2020,Sector,,
Indirect CO2,0.19935419452349,,,,Summary1.As3,MONACCO,2020,Sector,,
International bunkers,10.83026453762945,0.00094602673698,0.00031277574455,,Summary1.As3,MONACCO,2021,Sector,,
CO2 emissions from biomass,39.93511771391152,,,,Summary1.As3,MONACCO,2021,Sector,,
Indirect CO2,0.23524271652707,,,,Summary1.As3,MONACCO,2021,Sector,,
