GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
5.  Waste,,22.86017379202857,0.08480925973357,,Summary1.As2,CYPRUS,2021,Sector,
International bunkers,900.886,0.01866,0.02769,,Summary1.As3,CYPRUS,1990,Sector,
CO2 emissions from biomass,30.4955,,,,Summary1.As3,CYPRUS,1990,Sector,
Indirect CO2,5.209,,,,Summary1.As3,CYPRUS,1990,Sector,
International bunkers,1029.514,0.0195,0.03013,,Summary1.As3,CYPRUS,1991,Sector,
CO2 emissions from biomass,27.9955,,,,Summary1.As3,CYPRUS,1991,Sector,
Indirect CO2,4.5238,,,,Summary1.As3,CYPRUS,1991,Sector,
International bunkers,1015.776,0.02007,0.02981,,Summary1.As3,CYPRUS,1992,Sector,
CO2 emissions from biomass,27.7955,,,,Summary1.As3,CYPRUS,1992,Sector,
Indirect CO2,4.7394,,,,Summary1.As3,CYPRUS,1992,Sector,
International bunkers,863.1229999999999,0.01747,0.02501,,Summary1.As3,CYPRUS,1993,Sector,
CO2 emissions from biomass,27.6955,,,,Summary1.As3,CYPRUS,1993,Sector,
Indirect CO2,4.7271,,,,Summary1.As3,CYPRUS,1993,Sector,
International bunkers,919.91,0.02122,0.02634,,Summary1.As3,CYPRUS,1994,Sector,
CO2 emissions from biomass,60.763,,,,Summary1.As3,CYPRUS,1994,Sector,
Indirect CO2,5.154,,,,Summary1.As3,CYPRUS,1994,Sector,
International bunkers,1013.515,0.02336,0.02917,,Summary1.As3,CYPRUS,1995,Sector,
CO2 emissions from biomass,76.7165,,,,Summary1.As3,CYPRUS,1995,Sector,
Indirect CO2,5.8724,,,,Summary1.As3,CYPRUS,1995,Sector,
International bunkers,1047.16,0.02791,0.03082,,Summary1.As3,CYPRUS,1996,Sector,
CO2 emissions from biomass,74.4965,,,,Summary1.As3,CYPRUS,1996,Sector,
Indirect CO2,5.98,,,,Summary1.As3,CYPRUS,1996,Sector,
International bunkers,1061.098,0.02988,0.03133,,Summary1.As3,CYPRUS,1997,Sector,
CO2 emissions from biomass,63.4165,,,,Summary1.As3,CYPRUS,1997,Sector,
Indirect CO2,5.9119,,,,Summary1.As3,CYPRUS,1997,Sector,
International bunkers,1102.6699999999998,0.02924,0.0347,,Summary1.As3,CYPRUS,1998,Sector,
CO2 emissions from biomass,69.18,,,,Summary1.As3,CYPRUS,1998,Sector,
Indirect CO2,5.7985,,,,Summary1.As3,CYPRUS,1998,Sector,
International bunkers,1298.067,0.04394,0.0392,,Summary1.As3,CYPRUS,1999,Sector,
CO2 emissions from biomass,64.4325,,,,Summary1.As3,CYPRUS,1999,Sector,
Indirect CO2,7.6406,,,,Summary1.As3,CYPRUS,1999,Sector,
International bunkers,1433.768,0.05462,0.04308,,Summary1.As3,CYPRUS,2000,Sector,
CO2 emissions from biomass,56.9335,,,,Summary1.As3,CYPRUS,2000,Sector,
Indirect CO2,7.602,,,,Summary1.As3,CYPRUS,2000,Sector,
International bunkers,1573.848,0.05568,0.04675,,Summary1.As3,CYPRUS,2001,Sector,
CO2 emissions from biomass,60.5935,,,,Summary1.As3,CYPRUS,2001,Sector,
Indirect CO2,7.1534,,,,Summary1.As3,CYPRUS,2001,Sector,
International bunkers,1368.399,0.04176,0.04271,,Summary1.As3,CYPRUS,2002,Sector,
CO2 emissions from biomass,66.8805,,,,Summary1.As3,CYPRUS,2002,Sector,
Indirect CO2,9.2143,,,,Summary1.As3,CYPRUS,2002,Sector,
International bunkers,1391.236,0.03793,0.04116,,Summary1.As3,CYPRUS,2003,Sector,
CO2 emissions from biomass,75.3685,,,,Summary1.As3,CYPRUS,2003,Sector,
Indirect CO2,11.0733,,,,Summary1.As3,CYPRUS,2003,Sector,
International bunkers,1086.312,0.01857,0.03233,,Summary1.As3,CYPRUS,2004,Sector,
CO2 emissions from biomass,67.02,,,,Summary1.As3,CYPRUS,2004,Sector,
Indirect CO2,13.6422,,,,Summary1.As3,CYPRUS,2004,Sector,
International bunkers,1750.148,0.0807,0.05272,,Summary1.As3,CYPRUS,2005,Sector,
CO2 emissions from biomass,63.603,,,,Summary1.As3,CYPRUS,2005,Sector,
Indirect CO2,16.114,,,,Summary1.As3,CYPRUS,2005,Sector,
International bunkers,1771.714,0.07738,0.06122,,Summary1.As3,CYPRUS,2006,Sector,
CO2 emissions from biomass,64.135,,,,Summary1.As3,CYPRUS,2006,Sector,
Indirect CO2,17.6814,,,,Summary1.As3,CYPRUS,2006,Sector,
International bunkers,1693.336,0.07158,0.0544,,Summary1.As3,CYPRUS,2007,Sector,
CO2 emissions from biomass,103.0486,,,,Summary1.As3,CYPRUS,2007,Sector,
Indirect CO2,18.1604,,,,Summary1.As3,CYPRUS,2007,Sector,
International bunkers,1654.941,0.06742,0.05611,,Summary1.As3,CYPRUS,2008,Sector,
CO2 emissions from biomass,156.4264,,,,Summary1.As3,CYPRUS,2008,Sector,
Indirect CO2,15.6192,,,,Summary1.As3,CYPRUS,2008,Sector,
International bunkers,1500.665,0.05921,0.04674,,Summary1.As3,CYPRUS,2009,Sector,
CO2 emissions from biomass,182.3472,,,,Summary1.As3,CYPRUS,2009,Sector,
Indirect CO2,13.6294,,,,Summary1.As3,CYPRUS,2009,Sector,
International bunkers,1416.02,0.05258,0.04613,,Summary1.As3,CYPRUS,2010,Sector,
CO2 emissions from biomass,167.18179999999998,,,,Summary1.As3,CYPRUS,2010,Sector,
Indirect CO2,13.1364,,,,Summary1.As3,CYPRUS,2010,Sector,
International bunkers,1484.808,0.05561,0.04515,,Summary1.As3,CYPRUS,2011,Sector,
CO2 emissions from biomass,188.1304,,,,Summary1.As3,CYPRUS,2011,Sector,
Indirect CO2,4.8772,,,,Summary1.As3,CYPRUS,2011,Sector,
International bunkers,1450.797,0.05358,0.04515,,Summary1.As3,CYPRUS,2012,Sector,
CO2 emissions from biomass,183.367,,,,Summary1.As3,CYPRUS,2012,Sector,
Indirect CO2,4.6569,,,,Summary1.As3,CYPRUS,2012,Sector,
International bunkers,1530.268,0.06374,0.04828,,Summary1.As3,CYPRUS,2013,Sector,
CO2 emissions from biomass,178.3602,,,,Summary1.As3,CYPRUS,2013,Sector,
Indirect CO2,3.6805,,,,Summary1.As3,CYPRUS,2013,Sector,
International bunkers,1509.135,0.06212,0.04748,,Summary1.As3,CYPRUS,2014,Sector,
CO2 emissions from biomass,169.1774,,,,Summary1.As3,CYPRUS,2014,Sector,
Indirect CO2,3.3474,,,,Summary1.As3,CYPRUS,2014,Sector,
International bunkers,1518.316,0.06562,0.04724,,Summary1.As3,CYPRUS,2015,Sector,
CO2 emissions from biomass,221.7032,,,,Summary1.As3,CYPRUS,2015,Sector,
Indirect CO2,3.8088,,,,Summary1.As3,CYPRUS,2015,Sector,
International bunkers,1783.353,0.07664,0.05606,,Summary1.As3,CYPRUS,2016,Sector,
CO2 emissions from biomass,235.4494,,,,Summary1.As3,CYPRUS,2016,Sector,
Indirect CO2,3.9295,,,,Summary1.As3,CYPRUS,2016,Sector,
International bunkers,1802.994,0.06755,0.05737,,Summary1.As3,CYPRUS,2017,Sector,
CO2 emissions from biomass,288.4351668,,,,Summary1.As3,CYPRUS,2017,Sector,
Indirect CO2,5.2623,,,,Summary1.As3,CYPRUS,2017,Sector,
International bunkers,1894.297467576648,0.07058760998305,0.06121393213221,,Summary1.As3,CYPRUS,2018,Sector,
CO2 emissions from biomass,324.86752220000005,,,,Summary1.As3,CYPRUS,2018,Sector,
Indirect CO2,5.0505,,,,Summary1.As3,CYPRUS,2018,Sector,
International bunkers,1909.9033765048164,0.07211636011094,0.06210610724377,,Summary1.As3,CYPRUS,2019,Sector,
CO2 emissions from biomass,320.13357276,,,,Summary1.As3,CYPRUS,2019,Sector,
Indirect CO2,4.9672,,,,Summary1.As3,CYPRUS,2019,Sector,
International bunkers,1201.0966526998852,0.06702200720322,0.04189931671286,,Summary1.As3,CYPRUS,2020,Sector,
CO2 emissions from biomass,412.55158588,,,,Summary1.As3,CYPRUS,2020,Sector,
Indirect CO2,5.1614,,,,Summary1.As3,CYPRUS,2020,Sector,
International bunkers,1355.3554234163944,0.06262013833382,0.04587915503528,,Summary1.As3,CYPRUS,2021,Sector,
CO2 emissions from biomass,420.615856619639,,,,Summary1.As3,CYPRUS,2021,Sector,
Indirect CO2,5.2152,,,,Summary1.As3,CYPRUS,2021,Sector,
