GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
D.  Non-energy products from fuels and solvent use ,5.898570302,,,,Summary1.As1,CYPRUS,2004,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2004,Subsector,2.  Industrial processes and product use,107.15325313807844
G.  Other product manufacture and use ,,,0.01852291,0.0005005536,Summary1.As1,CYPRUS,2004,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),6672.999597616006,,,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
                                           Sectoral approach(2),7092.418409691394,0.5699369633701,0.10669549605801,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
1.  Energy industries,3471.84,0.14122,0.027696,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,908.283677724868,0.04860154623916,0.00852575497819,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
3.  Transport,2088.668707336897,0.2239545189828,0.06581239311685,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
4.  Other sectors,604.5960174867726,0.15018494576719,0.00449914082011,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
5.  Other,19.03000714285714,0.00597595238095,0.00016220714286,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
A.  Mineral industry,860.4736,,,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
C.  Metal industry,,,,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,3.463028186,,,,Summary1.As1,CYPRUS,2005,Subsector,1. Energy,
G.  Other product manufacture and use ,,,0.01880088,0.000528402,Summary1.As1,CYPRUS,2005,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),7002.086805560007,,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
                                           Sectoral approach(2),7277.993699053899,0.57133721920384,0.10471277755067,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
1.  Energy industries,3653.38,0.14305,0.02854,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,868.3180557142856,0.04535100249143,0.0079593368023,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
3.  Transport,2077.4467333396133,0.21169171671241,0.06301966074837,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
4.  Other sectors,664.9018100000001,0.1644545,0.00505273,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
5.  Other,13.9471,0.00679,0.00014105,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
A.  Mineral industry,902.3726,,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,3.476233457,,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy,137.7896793986877
A. Fuel combustion     Reference approach(2),7375.353293366674,,,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
                                           Sectoral approach(2),7600.554580625073,0.60170492759987,0.09537799559732,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
1.  Energy industries,3801.67,0.15322,0.030096,,Summary1.As1,CYPRUS,2007,Subsector,1. Energy,
