GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
2.  Industrial processes and product use,5062.921975139469,0.0132344868,0.53100550719843,4816.272199897716,133.5381133972919,0.00021660579444,Summary1.As1,GREECE,2020,Sector
1. Energy,52448.45566746907,28.53365853805796,1.3264080603368,,,,Summary1.As1,GREECE,2021,Sector
2.  Industrial processes and product use,5071.058148927257,0.01606291665,0.48526543661571,4675.445632588268,111.1761546119926,0.000213906901,Summary1.As1,GREECE,2021,Sector
3.  Agriculture,60.40990476190478,202.27556794714377,18.15304131544244,,,,Summary1.As2,GREECE,1990,Sector
"4.  Land use, land-use change and forestry  (4)",-2323.5346774953982,2.50709392591306,0.02167966890917,,,,Summary1.As2,GREECE,1990,Sector
5.  Waste,0.22014666666667,183.3862769401388,0.93936982879599,,,,Summary1.As2,GREECE,1990,Sector
3.  Agriculture,58.13028571428572,202.1228450103903,18.23125359110289,,,,Summary1.As2,GREECE,1991,Sector
"4.  Land use, land-use change and forestry  (4)",-2411.978262268114,1.24375244931596,0.01651435397774,,,,Summary1.As2,GREECE,1991,Sector
5.  Waste,0.22014666666667,182.2612969481319,0.9525411124225,,,,Summary1.As2,GREECE,1991,Sector
3.  Agriculture,55.5657142857143,199.1442973453772,17.50899958537849,,,,Summary1.As2,GREECE,1992,Sector
"4.  Land use, land-use change and forestry  (4)",-2682.706748659874,3.67242084184384,0.0357817964771,,,,Summary1.As2,GREECE,1992,Sector
5.  Waste,0.22014666666667,186.0526452702744,0.96460008269269,,,,Summary1.As2,GREECE,1992,Sector
3.  Agriculture,43.74019047619047,199.36474355298847,15.71764193705394,,,,Summary1.As2,GREECE,1993,Sector
"4.  Land use, land-use change and forestry  (4)",-3155.0427314456483,3.2778086740239,0.03600477171819,,,,Summary1.As2,GREECE,1993,Sector
5.  Waste,0.22014666666667,188.07660948636465,0.96930669040726,,,,Summary1.As2,GREECE,1993,Sector
3.  Agriculture,40.74819047619048,194.67669486543272,15.21682447988787,,,,Summary1.As2,GREECE,1994,Sector
"4.  Land use, land-use change and forestry  (4)",-2881.489045279159,3.05678271147756,0.03636128860324,,,,Summary1.As2,GREECE,1994,Sector
5.  Waste,0.22014666666667,193.9566325316264,0.98866119545921,,,,Summary1.As2,GREECE,1994,Sector
3.  Agriculture,45.02247619047619,200.7163346304624,15.93388801455893,,,,Summary1.As2,GREECE,1995,Sector
