GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
1.  Energy industries,27306.913496471,0.917897985,0.825180168,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,11294.121805016375,0.69625817,0.592082759,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
3.  Transport,12006.78225,2.191241062,0.415445962,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
4.  Other sectors,5985.968969199,7.63678929,0.262898111,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
5.  Other,1503.7208054,0.16147751,0.03571861,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,52.95544,3.110408618,0.00188838,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,52.95544,3.110408618,0.00188838,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
A.  Mineral industry,1084.4865140469906,,,,,,Summary1.As1,FINLAND,2001,Subsector,1. Energy
C.  Metal industry,2440.1261396544,9.09146e-05,,,,,Summary1.As1,FINLAND,2001,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,142.84291810796,0.0073,0.003649,,,,Summary1.As1,FINLAND,2001,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,763.4415713608012,2.83827025494242,,Summary1.As1,FINLAND,2001,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.17364188461375,,,0.00032357283032,Summary1.As1,FINLAND,2001,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,1.03114483896975,0.8915559584121,0.000796,Summary1.As1,FINLAND,2001,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),60106.92178317458,,,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
                                           Sectoral approach(2),60681.513096678784,11.644044396,2.19825261,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
1.  Energy industries,30081.298445174,1.154534482,0.949848723,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,10993.623255064786,0.677471913,0.559426295,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
3.  Transport,12201.26808,1.957815314,0.391975334,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
4.  Other sectors,5939.854962400001,7.695447138,0.262136943,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
5.  Other,1465.46835404,0.158775549,0.034865315,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,61.50224,2.560872822,0.00223128,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,61.50224,2.560872822,0.00223128,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
A.  Mineral industry,1084.3104378650012,,,,,,Summary1.As1,FINLAND,2002,Subsector,1. Energy
C.  Metal industry,2318.3432368468,9.12e-05,,,,,Summary1.As1,FINLAND,2002,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,142.24346314012,0.00709,0.003544,,,,Summary1.As1,FINLAND,2002,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,856.1915153678365,1.99112294481565,,Summary1.As1,FINLAND,2002,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.15802367492463,,,0.00035518745,Summary1.As1,FINLAND,2002,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.673729681625,0.901020555,0.000756,Summary1.As1,FINLAND,2002,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),68018.75213367799,,,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
                                           Sectoral approach(2),68262.37510313066,11.791137885,2.301930395,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
1.  Energy industries,37117.905535911,1.32793436,1.071974839,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
