Main_Category,Sub_Category,Detail_Category,Year,Sheet,GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas,Emissions_kt
Total national emissions and removals,Energy,4.  Other sectors,1999,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),119859.68292135996
Total national emissions and removals,Energy,5.  Other,1999,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),3154.3850111169822
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1999,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),6172.339394440237
Total national emissions and removals,Energy,1.  Solid fuels,1999,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),214.3218541169522
Total national emissions and removals,Energy,2.  Oil and natural gas and other emissions from energy production,1999,Summary1As1_Combined,2.  Oil and natural gas and other emissions from energy production,Net CO2 emissions/removals (kt),5958.017540323285
2.  Industrial processes and product use,Industrial processes and product use,,1999,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),41305.65919924143
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1999,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),9289.969602125286
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1999,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),7432.99320865499
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1999,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),24060.56152101584
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1999,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),522.1348674453151
Total national emissions and removals,Total national emissions and removals,,2000,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),569664.5188886405
1. Energy,Energy,,2000,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),530267.7790463596
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),2000,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),527321.7105883645
Total national emissions and removals,Energy,                                           Sectoral approach(2),2000,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),523821.6738933293
Total national emissions and removals,Energy,1.  Energy industries,2000,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),199771.1788528182
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,2000,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),74377.10037203801
Total national emissions and removals,Energy,3.  Transport,2000,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),127852.28142772304
Total national emissions and removals,Energy,4.  Other sectors,2000,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),118900.14777841058
