GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector,PFCs(1),SF6 (kt)
D.  Non-energy products from fuels and solvent use ,0.1973814940756,,,,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,5.42264720052845,Summary1.As1,LIECHTENSTEIN,2003,Subsector,1. Energy,0.02994456064596,
A. Fuel combustion     Reference approach(2),229.2781881394089,,,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
                                           Sectoral approach(2),229.12931013649347,0.02718902428078,0.00348748160666,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
1.  Energy industries,2.847636,0.00139886251776,0.00024315728256,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,39.70397724241781,0.00070129878924,0.00029835495746,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
3.  Transport,81.45400840572673,0.01178343812695,0.00179434896262,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
4.  Other sectors,105.12368848834896,0.01330542484683,0.00115162040402,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.0003273289746,0.04163792417944,,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.0003273289746,0.04163792417944,,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.20397951592963,,,,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,6.01622310078797,Summary1.As1,LIECHTENSTEIN,2004,Subsector,1. Energy,0.03785354243314,
A. Fuel combustion     Reference approach(2),228.91909416620743,,,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
                                           Sectoral approach(2),228.72828084918083,0.02715998491494,0.00343517970957,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
1.  Energy industries,3.0294,0.00147494186496,0.00023446008576,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,39.03457531303625,0.00069467500887,0.00031360838981,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
3.  Transport,81.08229669655054,0.01137675055775,0.0017093555125,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
4.  Other sectors,105.58200883959404,0.01361361748336,0.0011777557215,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00034135738494,0.04342240991591,,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00034135738494,0.04342240991591,,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.20031520389189,,,,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,6.32493339376045,Summary1.As1,LIECHTENSTEIN,2005,Subsector,1. Energy,0.05274995478164,
A. Fuel combustion     Reference approach(2),231.10348684957384,,,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
                                           Sectoral approach(2),230.87636243166364,0.02711492531865,0.00339104934792,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
1.  Energy industries,2.746656,0.00135923148288,0.00025282038528,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,40.40000838200474,0.0007066884392,0.00032561676765,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
3.  Transport,78.55677851213956,0.010649891875,0.001559367427,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
4.  Other sectors,109.17291953751932,0.01439911352157,0.00125324476799,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00035348888437,0.04496559885623,,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00035348888437,0.04496559885623,,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.18747158574452,,,,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,6.89757647089003,Summary1.As1,LIECHTENSTEIN,2006,Subsector,1. Energy,0.06297275300535,
A. Fuel combustion     Reference approach(2),200.79005811525428,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy,,
                                           Sectoral approach(2),200.54224574270395,0.02624150467758,0.00335462303398,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy,,
1.  Energy industries,2.484108,0.00125257390848,0.00027131349888,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,33.78998828428198,0.00060018218567,0.00026171336569,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy,,
3.  Transport,82.67960645530916,0.01164293624821,0.00164372660703,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy,,
4.  Other sectors,81.58854300311278,0.01274581233522,0.00117786956238,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy,,
