GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B. Fugitive emissions from fuels,0.03812850409831,1.13905905148225,,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.03812850409831,1.13905905148225,,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
A.  Mineral industry,495.2433497060015,,,,,Summary1.As1,LUXEMBOURG,1998,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,17.52076298211826,,,,,Summary1.As1,LUXEMBOURG,1998,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,20.91834175529767,,Summary1.As1,LUXEMBOURG,1998,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.02302708655024,,7.636022518e-05,Summary1.As1,LUXEMBOURG,1998,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),7416.2803454557725,,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
                                           Sectoral approach(2),7421.133040332995,0.76402195259862,0.17152438232489,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
1.  Energy industries,165.4445551729589,0.04846546187048,0.00640545683145,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1391.8783309445034,0.05765018365059,0.04241971472235,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
3.  Transport,4353.643458644095,0.24629006606354,0.10215345443459,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
4.  Other sectors,1447.1784542913017,0.40386129557472,0.02006992164829,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
5.  Other,62.98824128013575,0.00775494543929,0.00047583468821,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0394287089942,1.1793352344378,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0394287089942,1.1793352344378,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
A.  Mineral industry,525.0776713118123,,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,16.8627078275118,,,,,Summary1.As1,LUXEMBOURG,1999,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,23.89060727315932,,Summary1.As1,LUXEMBOURG,1999,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.02190842339476,,8.009900291e-05,Summary1.As1,LUXEMBOURG,1999,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),7962.9828892117,,,,,Summary1.As1,LUXEMBOURG,2000,Subsector,1. Energy
                                           Sectoral approach(2),7981.948438527832,0.76263392431889,0.17748705176219,,,Summary1.As1,LUXEMBOURG,2000,Subsector,1. Energy
1.  Energy industries,114.83291275526813,0.04782619675564,0.00635758785562,,,Summary1.As1,LUXEMBOURG,2000,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1329.6516660107056,0.06196029574756,0.04546212459552,,,Summary1.As1,LUXEMBOURG,2000,Subsector,1. Energy
3.  Transport,4883.145855217788,0.24049900175624,0.10510357628909,,,Summary1.As1,LUXEMBOURG,2000,Subsector,1. Energy
4.  Other sectors,1642.099363681884,0.41141635518477,0.02049610901946,,,Summary1.As1,LUXEMBOURG,2000,Subsector,1. Energy
