GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
International bunkers,1296.5096641278656,0.00524254882926,0.03873932068066,,,Summary1.As3,LUXEMBOURG,2005,Sector
CO2 emissions from biomass,299.0574739268884,,,,,Summary1.As3,LUXEMBOURG,2005,Sector
International bunkers,1213.3379956951142,0.00517166122578,0.03638556008521,,,Summary1.As3,LUXEMBOURG,2006,Sector
CO2 emissions from biomass,301.0402687342143,,,,,Summary1.As3,LUXEMBOURG,2006,Sector
International bunkers,1304.178986746237,0.00506866581876,0.03850528195719,,,Summary1.As3,LUXEMBOURG,2007,Sector
CO2 emissions from biomass,445.049790904956,,,,,Summary1.As3,LUXEMBOURG,2007,Sector
International bunkers,1312.8091380080868,0.00510757630564,0.03891584864981,,,Summary1.As3,LUXEMBOURG,2008,Sector
CO2 emissions from biomass,459.732942502734,,,,,Summary1.As3,LUXEMBOURG,2008,Sector
International bunkers,1257.7038870124964,0.00466019155477,0.03739540317226,,,Summary1.As3,LUXEMBOURG,2009,Sector
CO2 emissions from biomass,436.1603348668029,,,,,Summary1.As3,LUXEMBOURG,2009,Sector
International bunkers,1290.7482415421173,0.00460736514371,0.03825256415826,,,Summary1.As3,LUXEMBOURG,2010,Sector
CO2 emissions from biomass,453.6237378080682,,,,,Summary1.As3,LUXEMBOURG,2010,Sector
International bunkers,1207.5727110141822,0.00480380217923,0.03601667310508,,,Summary1.As3,LUXEMBOURG,2011,Sector
CO2 emissions from biomass,450.2473247325893,,,,,Summary1.As3,LUXEMBOURG,2011,Sector
International bunkers,1114.1385456840742,0.00478569949293,0.03350624446965,,,Summary1.As3,LUXEMBOURG,2012,Sector
CO2 emissions from biomass,471.3071133473829,,,,,Summary1.As3,LUXEMBOURG,2012,Sector
International bunkers,1119.1778042567455,0.00486061498327,0.03354092083917,,,Summary1.As3,LUXEMBOURG,2013,Sector
CO2 emissions from biomass,511.57247336509073,,,,,Summary1.As3,LUXEMBOURG,2013,Sector
International bunkers,1215.425041296446,0.00498342233211,0.03623337481092,,,Summary1.As3,LUXEMBOURG,2014,Sector
CO2 emissions from biomass,639.9666518293814,,,,,Summary1.As3,LUXEMBOURG,2014,Sector
International bunkers,1370.1382862722928,0.00521282524146,0.04067303175068,,,Summary1.As3,LUXEMBOURG,2015,Sector
CO2 emissions from biomass,702.3079527681986,,,,,Summary1.As3,LUXEMBOURG,2015,Sector
International bunkers,1520.3684667645584,0.00556885959385,0.04493066423455,,,Summary1.As3,LUXEMBOURG,2016,Sector
CO2 emissions from biomass,816.2658395140861,,,,,Summary1.As3,LUXEMBOURG,2016,Sector
International bunkers,1719.0677263859284,0.00596418411967,0.05053852441483,,,Summary1.As3,LUXEMBOURG,2017,Sector
CO2 emissions from biomass,912.9702094042874,,,,,Summary1.As3,LUXEMBOURG,2017,Sector
International bunkers,1838.1665801338768,0.00633071872349,0.05402106029165,,,Summary1.As3,LUXEMBOURG,2018,Sector
CO2 emissions from biomass,1022.4549395624388,,,,,Summary1.As3,LUXEMBOURG,2018,Sector
International bunkers,1798.1410311242828,0.00644679332812,0.05288946364709,,,Summary1.As3,LUXEMBOURG,2019,Sector
CO2 emissions from biomass,1170.4370268696468,,,,,Summary1.As3,LUXEMBOURG,2019,Sector
International bunkers,1636.502091662688,0.00349195736019,0.04610258481544,,,Summary1.As3,LUXEMBOURG,2020,Sector
CO2 emissions from biomass,1444.6325324041277,,,,,Summary1.As3,LUXEMBOURG,2020,Sector
International bunkers,1866.96213906072,0.00414396051216,0.05267911474947,,,Summary1.As3,LUXEMBOURG,2021,Sector
CO2 emissions from biomass,1496.2997864730582,,,,,Summary1.As3,LUXEMBOURG,2021,Sector
