Main_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
4. LULUCF,2012,100684.41092495568,22.46903263745879,0.66932938738466,0.0,0.0,0.0
4. LULUCF,2013,101269.04804247404,23.97544059608405,0.65337170329169,0.0,0.0,0.0
4. LULUCF,2014,86151.12430448293,21.08642050618577,0.61874375481215,0.0,0.0,0.0
4. LULUCF,2015,90310.43505520852,22.68350291273241,0.65409332819317,0.0,0.0,0.0
4. LULUCF,2016,91583.27144632538,23.3158151676057,0.64707495532378,0.0,0.0,0.0
4. LULUCF,2017,89218.45667424134,23.66048232821032,0.65797774362336,0.0,0.0,0.0
4. LULUCF,2018,91466.0561893254,24.9094310401268,0.67549323416537,0.0,0.0,0.0
4. LULUCF,2019,88265.12584558982,24.2646229946712,0.6397458814187,0.0,0.0,0.0
4. LULUCF,2020,86285.57121903222,24.03850144669825,0.62159156845937,0.0,0.0,0.0
4. LULUCF,2021,92679.09027308565,25.88428438702635,0.68679739240449,0.0,0.0,0.0
5. Waste,1990,5293.43745457813,0.14226113686442,0.18833356196966,0.0,0.0,0.0
5. Waste,1991,4301.39874176371,0.10842603853459,0.15770899290318,0.0,0.0,0.0
5. Waste,1992,4095.09159296483,0.10413128061624,0.14956029025108,0.0,0.0,0.0
5. Waste,1993,4148.30556965114,0.10921124109409,0.14908374315447,0.0,0.0,0.0
5. Waste,1994,3966.63870297274,0.10522141436677,0.14203239966178,0.0,0.0,0.0
5. Waste,1995,3893.13229587805,0.10238756856491,0.13997921219694,0.0,0.0,0.0
5. Waste,1996,3812.01554752272,0.09945504072763,0.13758861668179,0.0,0.0,0.0
5. Waste,1997,3636.801545540901,0.09205346763979,0.13311900072909,0.0,0.0,0.0
5. Waste,1998,3198.315392694225,0.08558554095752,0.11404735489688,0.0,0.0,0.0
5. Waste,1999,3154.3850111169822,0.08215408420689,0.11395063505642,0.0,0.0,0.0
5. Waste,2000,2920.965462339494,0.07493424587318,0.10624368584729,0.0,0.0,0.0
5. Waste,2001,2926.176756616829,0.07680593186833,0.10528860591634,0.0,0.0,0.0
5. Waste,2002,3060.524384227503,0.0828992602495,0.10844893239308,0.0,0.0,0.0
5. Waste,2003,3166.532269658652,0.08429763190853,0.11316434227197,0.0,0.0,0.0
5. Waste,2004,3057.57096383321,0.07863375154222,0.11106231808977,0.0,0.0,0.0
5. Waste,2005,2846.331584748554,0.07389746021828,0.10294633503262,0.0,0.0,0.0
5. Waste,2006,3473.656134302542,0.09490965664259,0.12256311696881,0.0,0.0,0.0
5. Waste,2007,3766.971736195968,0.10385432911979,0.13230624728911,0.0,0.0,0.0
5. Waste,2008,3267.196277227532,0.08770363913984,0.11631278672641,0.0,0.0,0.0
5. Waste,2009,2988.866579120638,0.07862975602999,0.10746667424188,0.0,0.0,0.0
5. Waste,2010,2904.0683181904105,0.07549988784263,0.10496417051256,0.0,0.0,0.0
5. Waste,2011,2754.0697881313777,0.07219511647227,0.09913618023412,0.0,0.0,0.0
5. Waste,2012,2525.377816787965,0.06636961952471,0.09081234388275,0.0,0.0,0.0
5. Waste,2013,2288.6957598833087,0.06003524456622,0.08236830401221,0.0,0.0,0.0
5. Waste,2014,2018.8590774221564,0.05340237568627,0.07236787813186,0.0,0.0,0.0
5. Waste,2015,1661.934286554562,0.04423620212544,0.05878345384737,0.0,0.0,0.0
5. Waste,2016,1547.475538883465,0.04081484429802,0.05494238213894,0.0,0.0,0.0
5. Waste,2017,1584.642872264121,0.04138579644825,0.05651022806311,0.0,0.0,0.0
