GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
Indirect CO2,18.29441748958935,,,Summary1.As3,LATVIA,2007,Sector,,
International bunkers,955.6683335286972,0.0449764,0.08101311892155,Summary1.As3,LATVIA,2008,Sector,,
CO2 emissions from biomass,5074.237938241713,,,Summary1.As3,LATVIA,2008,Sector,,
Indirect CO2,17.87593905743325,,,Summary1.As3,LATVIA,2008,Sector,,
International bunkers,1189.4073064562604,0.05880056,0.10631398599861,Summary1.As3,LATVIA,2009,Sector,,
CO2 emissions from biomass,5799.929188197501,,,Summary1.As3,LATVIA,2009,Sector,,
Indirect CO2,16.92516025530698,,,Summary1.As3,LATVIA,2009,Sector,,
International bunkers,1163.15235794492,0.05442952,0.11585488755381,Summary1.As3,LATVIA,2010,Sector,,
CO2 emissions from biomass,5155.066895921028,,,Summary1.As3,LATVIA,2010,Sector,,
Indirect CO2,16.26997884062522,,,Summary1.As3,LATVIA,2010,Sector,,
International bunkers,1044.6024215289283,0.04681838,0.12015589846124,Summary1.As3,LATVIA,2011,Sector,,
CO2 emissions from biomass,5390.021248728698,,,Summary1.As3,LATVIA,2011,Sector,,
Indirect CO2,10.91941974537243,,,Summary1.As3,LATVIA,2011,Sector,,
International bunkers,1131.734427906966,0.05143452,0.13614767104467,Summary1.As3,LATVIA,2012,Sector,,
CO2 emissions from biomass,6048.824278411613,,,Summary1.As3,LATVIA,2012,Sector,,
Indirect CO2,12.61173280571346,,,Summary1.As3,LATVIA,2012,Sector,,
International bunkers,1124.219966997917,0.05057186,0.12059399514279,Summary1.As3,LATVIA,2013,Sector,,
CO2 emissions from biomass,6123.242609602355,,,Summary1.As3,LATVIA,2013,Sector,,
Indirect CO2,15.49845463382316,,,Summary1.As3,LATVIA,2013,Sector,,
International bunkers,1077.3301310541542,0.05020054,0.11309922828743,Summary1.As3,LATVIA,2014,Sector,,
CO2 emissions from biomass,6476.54667437717,,,Summary1.As3,LATVIA,2014,Sector,,
Indirect CO2,20.58016542732532,,,Summary1.As3,LATVIA,2014,Sector,,
International bunkers,1138.8300269666745,0.05283096,0.17909017228466,Summary1.As3,LATVIA,2015,Sector,,
CO2 emissions from biomass,6140.625575899816,,,Summary1.As3,LATVIA,2015,Sector,,
Indirect CO2,17.03688512740856,,,Summary1.As3,LATVIA,2015,Sector,,
International bunkers,1375.7314634133304,0.06374682,0.23464906788614,Summary1.As3,LATVIA,2016,Sector,,
CO2 emissions from biomass,6265.539823475113,,,Summary1.As3,LATVIA,2016,Sector,,
Indirect CO2,17.76553062426973,,,Summary1.As3,LATVIA,2016,Sector,,
International bunkers,1254.3790438657718,0.05385612,0.19833850297987,Summary1.As3,LATVIA,2017,Sector,,
CO2 emissions from biomass,6611.906108795182,,,Summary1.As3,LATVIA,2017,Sector,,
Indirect CO2,19.12560974567803,,,Summary1.As3,LATVIA,2017,Sector,,
International bunkers,587.0122763843901,0.01224766,0.06206511029792,Summary1.As3,LATVIA,2018,Sector,,
CO2 emissions from biomass,6994.14348281062,,,Summary1.As3,LATVIA,2018,Sector,,
Indirect CO2,11.80363979624916,,,Summary1.As3,LATVIA,2018,Sector,,
International bunkers,1401.4730415687918,0.05673342,0.33562584592282,Summary1.As3,LATVIA,2019,Sector,,
CO2 emissions from biomass,6943.86851609711,,,Summary1.As3,LATVIA,2019,Sector,,
Indirect CO2,12.67657004301825,,,Summary1.As3,LATVIA,2019,Sector,,
International bunkers,826.3938857594538,0.03725428,0.26238831224633,Summary1.As3,LATVIA,2020,Sector,,
