GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
CO2 emissions from biomass,438.7,,,Summary1.As3,KAZAKHSTAN,2002,Sector,,,
International bunkers,12.808102453,0.00055554487,0.000353040192,Summary1.As3,KAZAKHSTAN,2003,Sector,,,
CO2 emissions from biomass,418.7,,,Summary1.As3,KAZAKHSTAN,2003,Sector,,,
International bunkers,19.13201554,0.00057244986,0.000530239458,Summary1.As3,KAZAKHSTAN,2004,Sector,,,
CO2 emissions from biomass,250.14,,,Summary1.As3,KAZAKHSTAN,2004,Sector,,,
International bunkers,32.667559,0.0008741414,0.0009065328,Summary1.As3,KAZAKHSTAN,2005,Sector,,,
CO2 emissions from biomass,341.79,,,Summary1.As3,KAZAKHSTAN,2005,Sector,,,
International bunkers,66.397523,0.0017056235,0.002158185,Summary1.As3,KAZAKHSTAN,2006,Sector,,,
CO2 emissions from biomass,265.63,,,Summary1.As3,KAZAKHSTAN,2006,Sector,,,
International bunkers,91.657362,0.0023805526,0.0031288273,Summary1.As3,KAZAKHSTAN,2007,Sector,,,
CO2 emissions from biomass,355.87,,,Summary1.As3,KAZAKHSTAN,2007,Sector,,,
International bunkers,126.368575,0.00289161,0.0040994201,Summary1.As3,KAZAKHSTAN,2008,Sector,,,
CO2 emissions from biomass,400.87,,,Summary1.As3,KAZAKHSTAN,2008,Sector,,,
International bunkers,110.183666,0.0025667497,0.0039914829,Summary1.As3,KAZAKHSTAN,2009,Sector,,,
CO2 emissions from biomass,497.85,,,Summary1.As3,KAZAKHSTAN,2009,Sector,,,
International bunkers,107.635472,0.0029278325,0.004203722,Summary1.As3,KAZAKHSTAN,2010,Sector,,,
CO2 emissions from biomass,553.371,,,Summary1.As3,KAZAKHSTAN,2010,Sector,,,
International bunkers,170.128007,0.0030260725,0.00592993799,Summary1.As3,KAZAKHSTAN,2011,Sector,,,
CO2 emissions from biomass,535.062,,,Summary1.As3,KAZAKHSTAN,2011,Sector,,,
International bunkers,238.714256,0.0033628292,0.00771700634,Summary1.As3,KAZAKHSTAN,2012,Sector,,,
CO2 emissions from biomass,384.7195,,,Summary1.As3,KAZAKHSTAN,2012,Sector,,,
International bunkers,329.829245,0.0039374133,0.01024969493,Summary1.As3,KAZAKHSTAN,2013,Sector,,,
CO2 emissions from biomass,405.4056,,,Summary1.As3,KAZAKHSTAN,2013,Sector,,,
International bunkers,361.96726111,0.004003404977,0.0110577855649,Summary1.As3,KAZAKHSTAN,2014,Sector,,,
CO2 emissions from biomass,308.066,,,Summary1.As3,KAZAKHSTAN,2014,Sector,,,
International bunkers,406.2103218,0.00452228652,0.01199132265,Summary1.As3,KAZAKHSTAN,2015,Sector,,,
CO2 emissions from biomass,263.64,,,Summary1.As3,KAZAKHSTAN,2015,Sector,,,
International bunkers,432.8319777,0.0044595487,0.01276202563,Summary1.As3,KAZAKHSTAN,2016,Sector,,,
CO2 emissions from biomass,303.5944,,,Summary1.As3,KAZAKHSTAN,2016,Sector,,,
International bunkers,490.722519,0.0047168831,0.0142589865,Summary1.As3,KAZAKHSTAN,2017,Sector,,,
CO2 emissions from biomass,283.79032,,,Summary1.As3,KAZAKHSTAN,2017,Sector,,,
International bunkers,544.621416,0.0047283878,0.0155711759,Summary1.As3,KAZAKHSTAN,2018,Sector,,,
CO2 emissions from biomass,199.7151,,,Summary1.As3,KAZAKHSTAN,2018,Sector,,,
International bunkers,610.7613414,0.0049246086,0.01729345967,Summary1.As3,KAZAKHSTAN,2019,Sector,,,
CO2 emissions from biomass,156.532925,,,Summary1.As3,KAZAKHSTAN,2019,Sector,,,
International bunkers,380.6264177,0.003592502828,0.01100739761,Summary1.As3,KAZAKHSTAN,2020,Sector,,,
CO2 emissions from biomass,178.92447,,,Summary1.As3,KAZAKHSTAN,2020,Sector,,,
International bunkers,669.43156593,0.0051137799,0.0188831277,Summary1.As3,KAZAKHSTAN,2021,Sector,,,
CO2 emissions from biomass,83.4972,,,Summary1.As3,KAZAKHSTAN,2021,Sector,,,
