GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14249.431748427489,11.74042002573559,2.11495370044062,1999
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1004.2862276636724,97.729640142031,0.07161281083618,1999
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),630.802993881389,82.83603255972073,0.06924990235732,1999
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4585.934574681132,0.21099239950762,1.23560049005733,1999
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2522.136534568543,,,1999
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.51665728554984,0.41452120260802,1999
5.  Waste,Total national emissions and removals,Waste,5.  Waste,683.7176300660886,2474.727537118951,3.9574142829742,1999
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2380.420257439708,,1999
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,9.0492306221496,0.54248646687141,1999
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),683.7176300660886,3.10031171867891,0.27821057293036,1999
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,82.15773733841502,3.13671724317243,1999
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,972.7244192167444,1135.33124877077,59.65839795831264,2000
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,961.2429804953748,,2000
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,163.22545804680806,11.22586829166089,2000
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,47.89173855553407,2000
G. Liming,Total national emissions and removals,Agriculture,G. Liming,827.425445409049,,,2000
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,142.29494956550886,,,2000
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.00402424218649,10.86281022858742,0.54079111111768,2000
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-881.9565978461866,197.4329853690016,6.341672087864,2000
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-16792.195128512816,3.91219633874828,1.68836774165767,2000
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14127.289291634956,11.73367703341898,2.03293880953541,2000
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-478.72410798537567,98.21186716258342,0.1058951843825,2000
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),693.1241603683898,82.9817296139997,0.07368827012673,2000
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4344.7836294110375,0.07945151415683,1.1871696126875,2000
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2776.2344427623766,,,2000
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.51406370609434,0.41311328287149,2000
