GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
2.  Manufacturing industries and construction                          ,4175.867856,0.15525462,0.025141056,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
3.  Transport,7276.1020875,1.8850867345,0.711450318,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
4.  Other sectors,6893.4364405,10.04639782,0.690486834,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
5.  Other,919.4879,0.673596,0.0072676,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.33338021135477,103.93364883165135,9.12e-07,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.33338021135477,103.93364883165135,9.12e-07,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
A.  Mineral industry,1616.207437678395,,,Summary1.As1,BLR,1999,Subsector,1. Energy,,,
C.  Metal industry,115.936,1.30428,,Summary1.As1,BLR,1999,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,4.149787576,,,Summary1.As1,BLR,1999,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,1999,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,1999,Subsector,2.  Industrial processes and product use,2.29550894487095,,
G.  Other product manufacture and use ,,,0.282,Summary1.As1,BLR,1999,Subsector,2.  Industrial processes and product use,,,3.89e-06
H.  Other(3),,,,Summary1.As1,BLR,1999,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),47853.57669978975,,,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
                                           Sectoral approach(2),50625.228567,14.817429445,1.580563254,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
1.  Energy industries,32350.0878215,0.92191023,0.146945884,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3111.71816,0.12417986,0.018195054,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
3.  Transport,6590.983013,1.59521646,0.541627198,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
4.  Other sectors,7363.108282,11.457183995,0.865670904,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
5.  Other,1209.3312905,0.7189389,0.008124214,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.39991687897862,109.97291358440366,9.88e-07,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.39991687897862,109.97291358440366,9.88e-07,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
A.  Mineral industry,1513.989220353621,,,Summary1.As1,BLR,2000,Subsector,1. Energy,,,
C.  Metal industry,129.824,1.46052,,Summary1.As1,BLR,2000,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,5.49879552053333,,,Summary1.As1,BLR,2000,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2000,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2000,Subsector,2.  Industrial processes and product use,6.04149181598975,,
G.  Other product manufacture and use ,,,0.245,Summary1.As1,BLR,2000,Subsector,2.  Industrial processes and product use,,,4.25e-06
H.  Other(3),,,,Summary1.As1,BLR,2000,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),46871.5944518944,,,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
                                           Sectoral approach(2),49687.39704952,14.68035562,1.537420776,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
1.  Energy industries,32399.075037,0.96293604,0.149720986,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3151.7833525,0.13211755,0.01890226,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
3.  Transport,6243.1605,1.487499575,0.552092108,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
4.  Other sectors,6591.362158020001,11.219763055,0.807326882,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
5.  Other,1302.0160019999998,0.8780394,0.00937854,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
