GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
2.  Oil and natural gas and other emissions from energy production,109.36663467222375,8.20805640037415,0.00017596248535,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
A.  Mineral industry,439.7815986708391,,,Summary1.As1,LITHUANIA,1997,Subsector,1. Energy,,
C.  Metal industry,5.32991987919252,,,Summary1.As1,LITHUANIA,1997,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,19.06666666666667,,,Summary1.As1,LITHUANIA,1997,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,1997,Subsector,2.  Industrial processes and product use,9.95559609803042,
G.  Other product manufacture and use ,,,0.28000604434796,Summary1.As1,LITHUANIA,1997,Subsector,2.  Industrial processes and product use,,3.4e-06
A. Fuel combustion     Reference approach(2),14455.48459666668,,,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
                                           Sectoral approach(2),14225.774331225955,7.63683142303725,0.51151499888036,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
1.  Energy industries,7287.8322495,0.258691,0.0462209,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1511.0037415432607,0.1036391633178,0.06469193833178,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
3.  Transport,3969.751570182697,1.09438870971945,0.21295596054858,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
4.  Other sectors,1455.66973,6.18010205,0.1876042,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
5.  Other,1.51704,1.05e-05,4.2e-05,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
B. Fugitive emissions from fuels,120.92412334324344,7.80521940834548,0.00022991324737,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,120.92412334324344,7.80521940834548,0.00022991324737,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
A.  Mineral industry,506.2342713771553,,,Summary1.As1,LITHUANIA,1998,Subsector,1. Energy,,
C.  Metal industry,5.66724200523933,,,Summary1.As1,LITHUANIA,1998,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,16.632,,,Summary1.As1,LITHUANIA,1998,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,1998,Subsector,2.  Industrial processes and product use,13.5489621296626,
G.  Other product manufacture and use ,,,0.27394282716427,Summary1.As1,LITHUANIA,1998,Subsector,2.  Industrial processes and product use,,2.22e-05
A. Fuel combustion     Reference approach(2),12061.05124666668,,,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
                                           Sectoral approach(2),11845.531759130748,7.67932246751359,0.45803572850771,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
1.  Energy industries,5901.143998999999,0.192764,0.0336543,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1174.1292830366085,0.09028124518927,0.05402732851893,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
3.  Transport,3508.0886300941406,0.87566362232432,0.21156979998878,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
4.  Other sectors,1260.363847,6.5206011,0.1587343,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
5.  Other,1.806,1.25e-05,5e-05,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
B. Fugitive emissions from fuels,85.43906542853384,7.36599617431443,0.00019256271981,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,85.43906542853384,7.36599617431443,0.00019256271981,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
A.  Mineral industry,418.0532438744379,,,Summary1.As1,LITHUANIA,1999,Subsector,1. Energy,,
C.  Metal industry,6.24933609565099,,,Summary1.As1,LITHUANIA,1999,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,14.81333333333333,,,Summary1.As1,LITHUANIA,1999,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,1999,Subsector,2.  Industrial processes and product use,17.03778475174132,
G.  Other product manufacture and use ,,,0.26788135662291,Summary1.As1,LITHUANIA,1999,Subsector,2.  Industrial processes and product use,,2.3677e-05
A. Fuel combustion     Reference approach(2),10019.826103333344,,,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
                                           Sectoral approach(2),10286.68222295933,7.55610361108794,0.45269628358494,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
1.  Energy industries,5043.419109500001,0.177778,0.0272171,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1074.6546634824704,0.0824463060501,0.04276554160501,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
3.  Transport,3134.66287297686,0.69400730503784,0.23348234197993,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
4.  Other sectors,1030.478057,6.601848,0.1491353,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
5.  Other,3.46752,2.4e-05,9.6e-05,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
B. Fugitive emissions from fuels,110.20346289717772,7.73420762594731,0.00026253270809,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,110.20346289717772,7.73420762594731,0.00026253270809,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
A.  Mineral industry,355.8572938873855,,,Summary1.As1,LITHUANIA,2000,Subsector,1. Energy,,
C.  Metal industry,6.77654987096386,,,Summary1.As1,LITHUANIA,2000,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,14.79866666666667,,,Summary1.As1,LITHUANIA,2000,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,2000,Subsector,2.  Industrial processes and product use,21.45239745965635,
G.  Other product manufacture and use ,,,0.26182084391767,Summary1.As1,LITHUANIA,2000,Subsector,2.  Industrial processes and product use,,3.1727e-05
A. Fuel combustion     Reference approach(2),11330.095626666678,,,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
                                           Sectoral approach(2),10940.147886704544,7.75184916651492,0.49129527750548,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
1.  Energy industries,5516.6351355,0.228878,0.0348867,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1035.3526617381176,0.09428005020417,0.04126033802042,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
3.  Transport,3407.2617364664256,0.69327616631075,0.27029203948506,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
4.  Other sectors,980.175953,6.73540995,0.1448362,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
5.  Other,0.7224,5e-06,2e-05,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
B. Fugitive emissions from fuels,123.31505841183422,7.62244152027026,0.00039093552168,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,123.31505841183422,7.62244152027026,0.00039093552168,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
A.  Mineral industry,357.6403175428724,,,Summary1.As1,LITHUANIA,2001,Subsector,1. Energy,,
C.  Metal industry,7.10504660899196,,,Summary1.As1,LITHUANIA,2001,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,15.752,,,Summary1.As1,LITHUANIA,2001,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,2001,Subsector,2.  Industrial processes and product use,27.55691458820388,
G.  Other product manufacture and use ,,,0.25575049318214,Summary1.As1,LITHUANIA,2001,Subsector,2.  Industrial processes and product use,,2.8777e-05
A. Fuel combustion     Reference approach(2),11234.224603333343,,,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
                                           Sectoral approach(2),10984.04405379943,7.79427933496076,0.54278881056105,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
1.  Energy industries,5332.605029,0.25939,0.0381948,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1097.5893062717907,0.14908536930717,0.04511474718072,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
3.  Transport,3500.5697405276374,0.67771211565359,0.31185736338033,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
4.  Other sectors,1052.196378,6.70808435,0.1475919,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
5.  Other,1.0836,7.5e-06,3e-05,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
B. Fugitive emissions from fuels,114.61959746077252,8.12607455060302,0.00036022508792,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,114.61959746077252,8.12607455060302,0.00036022508792,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
A.  Mineral industry,352.29425735570595,,,Summary1.As1,LITHUANIA,2002,Subsector,1. Energy,,
C.  Metal industry,7.17242205700714,,,Summary1.As1,LITHUANIA,2002,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,18.05466666666667,,,Summary1.As1,LITHUANIA,2002,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,2002,Subsector,2.  Industrial processes and product use,34.88536069927263,
G.  Other product manufacture and use ,,,0.24968251131495,Summary1.As1,LITHUANIA,2002,Subsector,2.  Industrial processes and product use,,3.2677e-05
A. Fuel combustion     Reference approach(2),11294.61814666668,,,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
                                           Sectoral approach(2),10997.50114204562,7.87597923287734,0.58832692578158,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
1.  Energy industries,5205.53868475,0.273377,0.0385333,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1120.9406206970289,0.18154086130861,0.04906419613086,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
3.  Transport,3576.756394598592,0.61301007156873,0.35555292965072,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
4.  Other sectors,1090.797922,6.8080273,0.1450805,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
5.  Other,3.46752,2.4e-05,9.6e-05,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
B. Fugitive emissions from fuels,95.92257111556512,8.28341846295241,0.000317396483,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,95.92257111556512,8.28341846295241,0.000317396483,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
A.  Mineral industry,361.0022378259898,,,Summary1.As1,LITHUANIA,2003,Subsector,1. Energy,,
C.  Metal industry,6.77892105862029,,,Summary1.As1,LITHUANIA,2003,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,17.248,,,Summary1.As1,LITHUANIA,2003,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,2003,Subsector,2.  Industrial processes and product use,45.83990826459321,
G.  Other product manufacture and use ,,,0.24361427712777,Summary1.As1,LITHUANIA,2003,Subsector,2.  Industrial processes and product use,,0.000103127
A. Fuel combustion     Reference approach(2),11873.829283333347,,,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy,,
                                           Sectoral approach(2),11600.648817620451,7.9101456308706,0.47972934085697,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy,,
1.  Energy industries,5378.313832250001,0.31716,0.0442258,Summary1.As1,LITHUANIA,2004,Subsector,1. Energy,,
